Text,Level,A1,A2,B1,B2,C1,C2,Labels,Text Count
I thought I saw him . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
There is very little traffic on Sundays here . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
He ran to the bus stop . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Sugar was bad for Henry . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
We always see red fruit in the autumn . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
You can find the contractor in his office . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I 'm looking for a carpenter . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Let 's go for a bike ride . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
The divers were protected by a metal cage . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
He has done more than anyone else . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
I was called twice about it . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Those musicians ' guitars were stolen . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
We should ask Amanda how to start a volunteer project . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
We went to look for food . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Do you know what to say if you are stopped by the police ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",13
Megan started playing soccer during the summer break . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I do n't often wear ball gowns . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
John did n't know why Amanda was so angry at him . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
John knew they were bad people . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
The driver did n't know where to turn . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I ca n't read all of these books . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
It is easy to understand people who speak clearly . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
You are as beautiful as ever to me . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
She was as helpless as a baby . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
It is difficult to talk to her peacefully . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
We watch the Olympics on TV . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
That clock is five minutes fast . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
I slept while he was gone . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
He was as old as my father . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Many Russians died in WWII . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
"Could you get my waiter , please ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
"Fortunately , salad was Gina 's favorite food . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
There is a photographer 's studio over there . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I buy my bread from a local baker . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
They must be exhausted after their three month journey in Africa . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
She is jealous of your dog . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
I think that one is his . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Do n't go swimming over there . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
"If you wanted to talk to someone , who would you call ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
You must feel very sick . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
My mother calls every weekend . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Is there any of the vegetable spaghetti left from last night 's dinner ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",13
Spotlight is a movie about some Boston reporters . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I made dinner while you were napping . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
I will come with you to make sure you are okay . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
The temperature dropped as low as minus 20 . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I did n't tell her to go . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
We have to change planes in New York . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
They were all required to wear suits . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
We rushed to the place where we last saw her . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
She is usually understanding . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
It was the teacher who wrote that . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
I wish I could be more like you . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I met someone who is also from Vancouver . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I hate Monday morning . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
She keeps the key in a flower pot by the door . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
They stood watching us from the window . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
The doctor asked if he had come to yet . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
When was the last time you saw yours ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Her son became a dentist . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
She 's inviting all her friends to the picnic . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
It is close to the station but far from home . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
He needs to make it clear . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
He said he had to come . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
I wish I knew who broke in to our house . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
"I wish I could tell you who was responsible , but we may never know . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",16
He walked around the garden . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
She does n't want this one . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
I do n't know where I 'm going . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I did n't know where you went . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
We saw a brown mouse run across the road . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
You have nothing left . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
Many things were broken . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
Did you brush your teeth ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
Have you changed your hairstyle ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
I have n't changed anything . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
I am very content with life and every day is filled with laughter . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",14
I 've never seen a movie about frogs . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Are you on the field hockey team ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Can anyone lend me a pencil ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
He failed the test to become a firefighter . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Not all people like to have their pictures taken . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
The dog learned to sit . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
We can watch the planes from here . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Everyone looked for the missing boys . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Who is the Israeli prime minister now ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
We hired a new gardener . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
He fell on his knees . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
I said this movie must be good . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
"We were very close to going to France , but the flight was canceled . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",15
That was the day when we saw it . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I 've spoken with all the parents except for his . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
I do n't like wearing skirts during winter . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I shop where I see happy employees . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Have you lost your mind ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
Have you made up your mind ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
I wonder why people still die of curable diseases . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
He is the man whose daughter is missing . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
These sneakers are so soft I could wear them to sleep in . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",13
Did you get what you wanted ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
He did n't know how he should state that . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
They 'd be angry if she had gone too . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
She said she has not seen anyone all night . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Nothing is as good as my mother 's homemade seafood pasta . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
Not all adults are always correct in what they do or say . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",13
This will help them to improve . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Mayweather is the current heavy weight champion . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
He recently started boxing . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
My flight leaves at two o'clock . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Latin is a dead language . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
We waited a long time for her arrival . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
They wish they could be happy . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
I am a high- level manager in a small company . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
A man dressed as a policeman was asking questions . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
It 's easy to buy silk in Asia . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I love my cashmere sweater ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
I told her to call me if there was any news on his condition . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",15
The park near our house reminds me of our first date . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
The Seto Ohashi Bridge was built in the 1980s . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Were there dogs at the park ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
The teacher loves picking on me . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
The highway is faster . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
This is an area where most people drive rather than walk . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
I was excited because Stella and I had 500 dollars to share between the two of us . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",18
I have been ill since morning . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
It was that time when you got sick . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Is the dog safe to pet ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Do you know what the kids ate for dinner last night ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
"If they had gone north , we could have followed them . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
There is no more water . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Is there enough water ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",4
Her smile told me everything I needed to know . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
We are against elephant hunting . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
The doors must be locked by midnight . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
There were many rabbits at the petting zoo . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
We have been to England as well as to France . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
"Since she was n't feeling well today , she was working badly . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",13
Please ask your father to call me . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Was there a man or a woman in the car ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Is there a problem ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",4
There 's not enough salt . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
She does n't know what she is doing . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Who wants to lead the way ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
"If I found myself in a new city , I 'd take a tour . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",15
Freestyle snowboarding is now an Olympic sport . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Your mother told me all about your new job when I called last night . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",15
She sat at the table in front of ours . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
She put jam on her toast . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
The plastic chair is broken . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
She gave him a new cup . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
He has already opened all his birthday gifts . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Look at that shooting star ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
I do n't know why he dislikes me . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I 'd like you to meet my parents . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I wish she could have forgiven him . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
"If he was a few years older , he could join . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
"If it were me , I 'd join . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Can you keep a secret ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
I felt sad after watching that movie . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
We had lobster for Jake 's birthday dinner . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
There is a hole in my sneakers . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
There were leaves in her hair . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Stadium food is expensive . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
She was the woman whose name was forgotten . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
She went looking for her dog . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Have you just arrived ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",4
She 's just sent me a letter . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
"If he went on Saturday , there might be less traffic . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
"If he were my father , I 'd write him . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
My grandson visits often . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
It is close to our house . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
He never listens to what I say . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
It will start getting chilly in Tokyo soon . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
It 's too windy to sit outside . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
It is difficult to see you in pain . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Liz got up quietly . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
Were there people at the concert ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Do you know what book he was reading ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
I lost my gold ring . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Have you been studying French ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
That parking lot is full . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
My car was damaged in that parking lot . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
There are plans to build a new library at my school . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
Have you already had your lunch ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Every day he tells his wife not to worry but I know she does . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",15
Jill was always excited to eat melons . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
I need a place to put my bag . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
This is my bag . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
Louis finds fashion interesting . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
He has already left for his class . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Gloria always wore very big earrings . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
Jack kept a white mouse as a pet . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
We did n't want to wake the sleeping girls . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
She started counting sheep so she could sleep . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
None of them were confident they would win . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I wish they would stop knocking on my door . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Turkey sandwich was her favorite . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Have you been staying up late ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
I do n't know how he did it . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
He does n't know how to do it . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I ca n't wait for the day when we have flying cars . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",13
There were not many swimmers in the water . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
"If we were all alike , life would be boring . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
All the dishes were broken in the earthquake . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
It 's too hot to sleep . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
You must not get too close to the fire . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
I wish she could have seen it . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
"We were planning to go together , but she got sick . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
She often wore her pajamas until noon . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Where are the kids ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",4
He never talks about his ex-wife . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
The teacher asked him to close the windows . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Mother was happy to finally get a new dog after Daisy died . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",13
Does it snow here ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",4
He felt his chest tighten . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
That was the moment when they sang . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Few people liked her . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
It 's football season in America . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
All of you should leave . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Please return my book as soon as possible . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Have you met our brother ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
I do n't like heavy metal music . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
